gene_id	colors
cpc54_10477	pink
cpc54_1048	turquoise
cpc54_10482	grey
cpc54_10483	paleturquoise
cpc54_10484	magenta
cpc54_10485	magenta
cpc54_10486	grey
cpc54_10487	brown
cpc54_10488	turquoise
cpc54_10489	darkmagenta
cpc54_1049	brown
cpc54_10490	turquoise
cpc54_10491	darkmagenta
cpc54_10492	grey
cpc54_10493	darkmagenta
cpc54_10495	brown
cpc54_10497	black
cpc54_10498	turquoise
cpc54_10499	grey
cpc54_105	grey
cpc54_10503	brown
cpc54_10505	midnightblue
cpc54_10506	turquoise
cpc54_10507	yellow
cpc54_10508	brown
cpc54_10509	brown
cpc54_1051	turquoise
cpc54_10510	midnightblue
cpc54_10511	pink
cpc54_10512	blue
cpc54_10513	violet
cpc54_10514	brown
cpc54_10515	turquoise
cpc54_10516	turquoise
cpc54_10517	pink
cpc54_10518	brown
cpc54_1052	grey
cpc54_10520	purple
cpc54_10521	black
cpc54_10522	blue
cpc54_10523	greenyellow
cpc54_10524	red
cpc54_10525	turquoise
cpc54_10526	magenta
cpc54_10527	magenta
cpc54_10529	grey
cpc54_1053	royalblue
cpc54_10530	lightyellow
cpc54_10531	grey
cpc54_10532	grey
cpc54_10533	turquoise
cpc54_10534	blue
cpc54_10535	green
cpc54_10536	royalblue
cpc54_10537	turquoise
cpc54_10538	red
cpc54_1054	blue
cpc54_10545	lightgreen
cpc54_10546	black
cpc54_10547	grey
cpc54_10548	turquoise
cpc54_10549	blue
cpc54_1055	brown
cpc54_10550	red
cpc54_10551	purple
cpc54_10552	greenyellow
cpc54_10553	black
cpc54_10554	cyan
cpc54_10556	green
cpc54_10557	turquoise
cpc54_10558	grey
cpc54_10559	grey60
cpc54_1056	grey
cpc54_10560	sienna3
cpc54_10561	turquoise
cpc54_10562	midnightblue
cpc54_10563	tan
cpc54_10564	turquoise
cpc54_10566	grey
cpc54_10567	yellow
cpc54_10568	brown
cpc54_10569	blue
cpc54_1057	grey
cpc54_10570	pink
cpc54_10571	greenyellow
cpc54_10573	turquoise
cpc54_10574	green
cpc54_10575	turquoise
cpc54_10576	greenyellow
cpc54_10577	blue
cpc54_10578	cyan
cpc54_10579	turquoise
cpc54_1058	red
cpc54_10580	turquoise
cpc54_10581	turquoise
cpc54_10582	salmon
cpc54_10583	turquoise
cpc54_10584	salmon
cpc54_10585	grey
cpc54_10586	yellow
cpc54_10587	purple
cpc54_10588	red
cpc54_10589	blue
cpc54_10590	turquoise
cpc54_10591	brown
cpc54_10592	grey
cpc54_10593	grey
cpc54_10594	grey
cpc54_10595	grey
cpc54_10596	grey
cpc54_10597	greenyellow
cpc54_10598	lightcyan
cpc54_10599	green
cpc54_10600	blue
cpc54_10601	blue
cpc54_10602	magenta
cpc54_10603	brown
cpc54_10604	midnightblue
cpc54_10605	orange
cpc54_10606	darkred
cpc54_10607	blue
cpc54_10608	yellow
cpc54_10609	lightyellow
cpc54_10610	red
cpc54_10611	turquoise
cpc54_10614	white
cpc54_10615	black
cpc54_10616	turquoise
cpc54_10617	green
cpc54_10618	blue
cpc54_10619	greenyellow
cpc54_1062	turquoise
cpc54_10620	pink
cpc54_10621	turquoise
cpc54_10622	red
cpc54_10623	turquoise
cpc54_10624	tan
cpc54_10625	skyblue
cpc54_10626	blue
cpc54_10628	skyblue
cpc54_10630	royalblue
cpc54_10631	blue
cpc54_10632	grey
cpc54_10633	magenta
cpc54_10634	grey
cpc54_10635	blue
cpc54_10636	yellow
cpc54_10637	red
cpc54_10639	yellowgreen
cpc54_1064	turquoise
cpc54_10640	black
cpc54_10641	grey
cpc54_10642	royalblue
cpc54_10643	blue
cpc54_10644	yellow
cpc54_10645	brown
cpc54_10646	brown
cpc54_10647	brown
cpc54_10648	brown
cpc54_10649	royalblue
cpc54_1065	turquoise
cpc54_10653	royalblue
cpc54_10654	darkred
cpc54_10656	darkred
cpc54_10657	darkred
cpc54_10658	midnightblue
cpc54_10659	green
cpc54_1066	green
cpc54_10660	lightcyan
cpc54_10661	royalblue
cpc54_10662	blue
cpc54_10663	purple
cpc54_10664	green
cpc54_10665	darkred
cpc54_10666	turquoise
cpc54_10667	turquoise
cpc54_10668	brown
cpc54_1067	plum1
cpc54_10670	turquoise
cpc54_10671	turquoise
cpc54_10672	yellow
cpc54_10673	grey
cpc54_10675	turquoise
cpc54_1068	red
cpc54_10681	pink
cpc54_10682	grey
cpc54_10683	pink
cpc54_10684	violet
cpc54_10685	magenta
cpc54_10686	magenta
cpc54_10687	turquoise
cpc54_10688	grey60
cpc54_1069	steelblue
cpc54_10690	grey
cpc54_10691	red
cpc54_10692	lightyellow
cpc54_10693	grey
cpc54_10694	lightcyan
cpc54_10695	magenta
cpc54_10696	magenta
cpc54_10697	saddlebrown
cpc54_10698	turquoise
cpc54_10699	red
cpc54_107	grey60
cpc54_1070	blue
cpc54_10700	blue
cpc54_10701	blue
cpc54_10703	darkturquoise
cpc54_10704	purple
cpc54_10705	cyan
cpc54_10707	tan
cpc54_10708	turquoise
cpc54_1071	blue
cpc54_10712	red
cpc54_10714	blue
cpc54_10715	turquoise
cpc54_10716	grey60
cpc54_10717	turquoise
cpc54_10718	red
cpc54_10719	pink
cpc54_1072	blue
cpc54_10720	turquoise
cpc54_10722	turquoise
cpc54_10725	grey
cpc54_10726	blue
cpc54_10727	cyan
cpc54_10728	blue
cpc54_10729	purple
