sequence	cg	chg	gene	classification
cpc54_10089.1	0.544611790374757	0.00791651774592246	cpc54_10089	gbM
cpc54_1009.1	0.33907882213077706	0.005523384870929447	cpc54_1009	gbM
cpc54_10090.1	0.310194019138756	0.005996589122411485	cpc54_10090	gbM
cpc54_10091.1	0.36387913961038965	0.006577341742751082	cpc54_10091	gbM
cpc54_10092.1	0.06979362929161029	0.007856608027828147	cpc54_10092	ambiguous
cpc54_10093.1	0.1448673504413696	0.053848999930300186	cpc54_10093	ambiguous
cpc54_10094.1	0.08308188325012421	0.0029077362136826213	cpc54_10094	ambiguous
cpc54_10095.1	0.661308466260184	0.00860090134876985	cpc54_10095	gbM
cpc54_10096.1	0.8980333333000001	0.3818055556	cpc54_10096	ambiguous
cpc54_10097.1	0.3880961491507724	0.08731694564373947	cpc54_10097	ambiguous
cpc54_10097.2	0.4034704077359743	0.09047555769459317	cpc54_10097	ambiguous
cpc54_10097.3	0.35059680724239733	0.07698972721223199	cpc54_10097	ambiguous
cpc54_10098.1	0.6965624751443965	0.010653310884156464	cpc54_10098	gbM
cpc54_10099.1	0.607467582411931	0.030958931575948197	cpc54_10099	gbM
cpc54_101.1	0.4507993832476037	0.009659136548647924	cpc54_101	gbM
cpc54_1010.1	0	0.0026475208913649025	cpc54_1010	UM
cpc54_10100.1	0.44610859042553197	0.012226004730115248	cpc54_10100	gbM
cpc54_10101.1	0.5180570181465435	0.0018819707664416137	cpc54_10101	gbM
cpc54_10102.1	0.7895687305245327	0.016458633177570094	cpc54_10102	gbM
cpc54_10103.1	0.1432754902	0.002852413793	cpc54_10103	ambiguous
cpc54_10104.1	0.5124217182202531	0.001891658552476793	cpc54_10104	gbM
cpc54_10105.1	0.41403923984151436	0.007753261963301588	cpc54_10105	gbM
cpc54_10106.1	0.8209571199309093	0.011767459332488142	cpc54_10106	gbM
cpc54_10107.1	0.7200748447318632	0.013587462637194675	cpc54_10107	gbM
cpc54_10107.2	0.7233396071981666	0.013649742832628722	cpc54_10107	gbM
cpc54_10108.1	0.007781666669000001	0.012689472052	cpc54_10108	UM
cpc54_10109.1	0.8278943740095087	0.018659856855437404	cpc54_10109	gbM
cpc54_10109.2	0.8318492834394904	0.018748996299014335	cpc54_10109	gbM
cpc54_1011.1	0.5486960984184072	0.005589080549116106	cpc54_1011	gbM
cpc54_10110.1	0.856016392733564	0.6566571923134947	cpc54_10110	teM
cpc54_10111.1	0.18589851049868764	0.006140447873333333	cpc54_10111	ambiguous
cpc54_10111.2	0.3805044210169153	0.007328097654320832	cpc54_10111	gbM
cpc54_10111.3	0.3644587453854185	0.006965312503117853	cpc54_10111	gbM
cpc54_10112.1	0.24567777531557616	0.0073254093872759584	cpc54_10112	gbM
cpc54_10113.1	0.6124237384475667	0.00389201599406698	cpc54_10113	gbM
